explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size,ext_min,ext_avg,ext_max,rects_searched_0,rects_searched_1,idx_dim_0,idx_dim_1
OCEAN,20,20,30,0.95,1.0,0.6666666666666666,0.8,20.66,10.83,4.9,0.6693905310656069,0.21320334063628463,1.0,0.17623321993526683,10.7,0.0,14.86873984336853,-1,-1,-1,-1,-1,-1,-1,-1,-1
FACETIndex,20,20,30,0.95,1.0,0.6666666666666666,0.8,20.66,10.83,4.9,0.6693905310656069,0.21320334063628463,1.0,0.3009132105177782,12.3,100.09046816825867,6.188239097595215,-1,-1,-1,-1,-1,57729,254323,30,30
OCEAN,20,20,30,0.95,1.0,0.8,0.888888888888889,19.6,10.3,4.83,0.2997846762740401,0.21544550063426132,1.0,0.18300199969423675,10.9,0.0,13.404301881790161,-1,-1,-1,-1,-1,-1,-1,-1,-1
FACETIndex,20,20,30,0.95,1.0,0.8,0.888888888888889,19.6,10.3,4.83,0.2997846762740401,0.21544550063426132,1.0,0.32426738737619376,12.7,101.61752986907959,7.560040712356567,-1,-1,-1,-1,-1,134843,244601,30,30
OCEAN,20,20,30,0.95,1.0,0.9090909090909091,0.9523809523809523,22.8,11.9,4.92,0.5643194649442569,0.2192924075721008,1.0,0.2294771699631207,11.6,0.0,20.22702980041504,-1,-1,-1,-1,-1,-1,-1,-1,-1
FACETIndex,20,20,30,0.95,1.0,0.9090909090909091,0.9523809523809523,22.8,11.9,4.92,0.5643194649442569,0.2192924075721008,1.0,0.38429081699056883,13.3,101.25844478607178,9.963987112045288,-1,-1,-1,-1,-1,283540,151829,30,30
OCEAN,20,20,30,1.0,1.0,1.0,1.0,21.44,11.22,4.9,0.20067340067340067,0.21724460200302212,1.0,0.24504191021083604,12.05,0.0,18.90299701690674,-1,-1,-1,-1,-1,-1,-1,-1,-1
FACETIndex,20,20,30,1.0,1.0,1.0,1.0,21.44,11.22,4.9,0.20067340067340067,0.21724460200302212,1.0,0.3803595487520384,12.9,103.94809436798096,8.024438619613647,-1,-1,-1,-1,-1,148513,258122,30,30
OCEAN,20,20,30,0.9,1.0,0.7142857142857143,0.8333333333333333,22.86,11.93,4.93,0.2798813987598053,0.2168626969084329,1.0,0.22861054655788243,10.35,0.0,20.05901074409485,-1,-1,-1,-1,-1,-1,-1,-1,-1
