,n_features,accuracy,precision,recall,f1,coverage_ratio,mean_distance
94,96.0,1.0,1.0,1.0,1.0,0.0,
95,97.0,1.0,1.0,1.0,1.0,0.0,
96,98.0,1.0,1.0,1.0,1.0,0.0,
97,99.0,1.0,1.0,1.0,1.0,0.0,
98,100.0,1.0,1.0,1.0,1.0,0.0,
99,101.0,1.0,1.0,1.0,1.0,0.0,
100,102.0,1.0,1.0,1.0,1.0,0.0,
101,103.0,1.0,1.0,1.0,1.0,0.0,
102,104.0,1.0,1.0,1.0,1.0,0.0,
103,105.0,1.0,1.0,1.0,1.0,0.0,
104,106.0,1.0,1.0,1.0,1.0,0.0,
105,107.0,1.0,1.0,1.0,1.0,0.0,
106,108.0,1.0,1.0,1.0,1.0,0.0,
107,109.0,1.0,1.0,1.0,1.0,0.0,
108,110.0,1.0,1.0,1.0,1.0,0.0,
109,111.0,1.0,1.0,1.0,1.0,0.0,
110,112.0,1.0,1.0,1.0,1.0,0.0,
111,113.0,1.0,1.0,1.0,1.0,0.0,
112,114.0,1.0,1.0,1.0,1.0,0.0,
113,115.0,1.0,1.0,1.0,1.0,0.0,
114,116.0,1.0,1.0,1.0,1.0,0.0,
115,117.0,1.0,1.0,1.0,1.0,0.0,
116,118.0,1.0,1.0,1.0,1.0,0.0,
117,119.0,1.0,1.0,1.0,1.0,0.0,
118,120.0,1.0,1.0,1.0,1.0,0.0,
119,121.0,1.0,1.0,1.0,1.0,0.0,
120,122.0,1.0,1.0,1.0,1.0,0.0,
121,123.0,1.0,1.0,1.0,1.0,0.0,
122,124.0,1.0,1.0,1.0,1.0,0.0,
123,125.0,1.0,1.0,1.0,1.0,0.0,
124,126.0,1.0,1.0,1.0,1.0,0.0,
125,127.0,1.0,1.0,1.0,1.0,0.0,
126,128.0,1.0,1.0,1.0,1.0,0.0,
127,129.0,1.0,1.0,1.0,1.0,0.0,
128,130.0,1.0,1.0,1.0,1.0,0.0,
129,131.0,1.0,1.0,1.0,1.0,0.0,
130,132.0,1.0,1.0,1.0,1.0,0.0,
131,133.0,1.0,1.0,1.0,1.0,0.0,
