dataset,n_samples,n_features,n_trees,max_depth,test_size,avg_nnodes,avg_nleaves,avg_depth,accuracy_hard,precision_hard,recall_hard,f1_hard,accuracy_soft,precision_soft,recall_soft,f1_soft
cancer,568,30,20,3,0.2,12.7,6.85,3.0,0.9385964912280702,1.0,0.8409090909090909,0.9135802469135803,0.9385964912280702,1.0,0.8409090909090909,0.9135802469135803
cancer,568,30,20,3,0.2,13.3,7.15,3.0,0.9298245614035088,0.8695652173913043,0.9523809523809523,0.909090909090909,0.9298245614035088,0.8695652173913043,0.9523809523809523,0.909090909090909
cancer,568,30,20,3,0.2,12.6,6.8,3.0,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747
cancer,568,30,20,3,0.2,12.0,6.5,3.0,0.956140350877193,0.9761904761904762,0.9111111111111111,0.9425287356321839,0.956140350877193,0.9761904761904762,0.9111111111111111,0.9425287356321839
cancer,568,30,20,3,0.2,12.9,6.95,3.0,0.9385964912280702,1.0,0.8444444444444444,0.9156626506024096,0.9385964912280702,0.975,0.8666666666666667,0.9176470588235294
glass,162,9,20,3,0.2,11.7,6.35,3.0,0.8787878787878788,0.85,0.9444444444444444,0.8947368421052632,0.9090909090909091,0.9411764705882353,0.8888888888888888,0.9142857142857143
glass,162,9,20,3,0.2,12.0,6.5,3.0,0.7272727272727273,0.6521739130434783,0.9375,0.7692307692307693,0.7272727272727273,0.6521739130434783,0.9375,0.7692307692307693
glass,162,9,20,3,0.2,12.9,6.95,3.0,0.8181818181818182,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9090909090909091,0.8947368421052632,0.9444444444444444,0.918918918918919
glass,162,9,20,3,0.2,12.0,6.5,3.0,0.8484848484848485,0.7916666666666666,1.0,0.8837209302325582,0.8484848484848485,0.7916666666666666,1.0,0.8837209302325582
glass,162,9,20,3,0.2,12.7,6.85,3.0,0.7575757575757576,0.8,0.8,0.8000000000000002,0.7272727272727273,0.7894736842105263,0.75,0.7692307692307692
magic,19019,10,20,3,0.2,15.0,8.0,3.0,0.8186119873817035,0.8091897579796563,0.940481043620057,0.8699095022624433,0.8175604626708728,0.803589920607525,0.9490419894007338,0.8702803738317757
magic,19019,10,20,3,0.2,14.9,7.95,3.0,0.8049421661409043,0.7791869918699187,0.9743798291988613,0.8659197687025659,0.7875920084121977,0.7595095881798176,0.9825132167547783,0.8567375886524823
magic,19019,10,20,3,0.2,15.0,8.0,3.0,0.7878548895899053,0.7650429799426934,0.9720873786407767,0.8562266167824693,0.7907465825446898,0.769280205655527,0.9684466019417476,0.8574498567335243
magic,19019,10,20,3,0.2,15.0,8.0,3.0,0.8167718191377498,0.7940406024885396,0.972723626153229,0.8743464936001443,0.8178233438485805,0.7945026178010471,0.9739269955876454,0.8751126329068301
magic,19019,10,20,3,0.2,15.0,8.0,3.0,0.7994216614090431,0.7766579973992198,0.9691683569979715,0.862299223966793,0.7996845425867508,0.7735303565692259,0.9768762677484787,0.8633918967371819
