explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size,ext_min,ext_avg,ext_max
OCEAN,20,20,10,0.85,0.7692307692307693,1.0,0.8695652173913044,57.66,29.33,5.0,0.938872926735822,0.8493490460157128,0.95,0.16857671290522439,5.7368421052631575,0.0,136.62757086753845,-1,-1,-1,-1,-1
FACETIndex,20,20,10,0.85,0.7692307692307693,1.0,0.8695652173913044,57.66,29.33,5.0,0.938872926735822,0.8493490460157128,1.0,0.20573993696443504,5.9,79.0168673992157,3.447000026702881,-1,-1,-1,-1,-1
OCEAN,20,20,10,0.85,0.8235294117647058,1.0,0.9032258064516129,56.86,28.93,5.0,0.8760806494181459,0.8430072951739618,0.95,0.08379798008155827,5.368421052631579,0.0,55.66412138938904,-1,-1,-1,-1,-1
FACETIndex,20,20,10,0.85,0.8235294117647058,1.0,0.9032258064516129,56.86,28.93,5.0,0.8760806494181459,0.8430072951739618,1.0,0.1317929343065413,5.8,79.63762617111206,2.358883857727051,-1,-1,-1,-1,-1
OCEAN,20,20,10,0.75,0.6666666666666666,0.8888888888888888,0.761904761904762,57.08,29.04,5.0,0.6826048761020063,0.8527295173961841,1.0,0.07994761906165163,4.1,0.0,58.05183959007263,-1,-1,-1,-1,-1
FACETIndex,20,20,10,0.75,0.6666666666666666,0.8888888888888888,0.761904761904762,57.08,29.04,5.0,0.6826048761020063,0.8527295173961841,1.0,0.11736901552523378,4.45,78.91933178901672,1.9609994888305664,-1,-1,-1,-1,-1
OCEAN,20,20,10,0.8,0.7647058823529411,1.0,0.8666666666666666,57.06,29.03,5.0,0.9202991121034969,0.849304152637486,1.0,0.09403349711201478,5.8,0.0,56.93448877334595,-1,-1,-1,-1,-1
FACETIndex,20,20,10,0.8,0.7647058823529411,1.0,0.8666666666666666,57.06,29.03,5.0,0.9202991121034969,0.849304152637486,1.0,0.1657770832493154,6.1,78.21002411842346,1.878000259399414,-1,-1,-1,-1,-1
OCEAN,20,20,10,0.95,0.9333333333333333,1.0,0.9655172413793104,57.36,29.18,5.0,0.739381735203315,0.8437592592592593,1.0,0.1193942732765602,6.1,0.0,94.93842506408691,-1,-1,-1,-1,-1
FACETIndex,20,20,10,0.95,0.9333333333333333,1.0,0.9655172413793104,57.36,29.18,5.0,0.739381735203315,0.8437592592592593,1.0,0.17010837879951776,6.45,78.10258960723877,3.372000217437744,-1,-1,-1,-1,-1
