explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size,ext_min,ext_avg,ext_max
OCEAN,20,20,57,0.95,0.9090909090909091,1.0,0.9523809523809523,45.92,23.46,5.0,0.04195014779635788,0.30380735923126684,1.0,0.006052406046213232,8.5,0.0,22.53100824356079,-1,-1,-1,-1,-1
FACETIndex,20,20,57,0.95,0.9090909090909091,1.0,0.9523809523809523,45.92,23.46,5.0,0.04195014779635788,0.30380735923126684,1.0,0.07399807856871718,13.25,116.08549952507019,3.5889718532562256,-1,-1,-1,-1,-1
OCEAN,20,20,57,0.95,0.9090909090909091,1.0,0.9523809523809523,46.32,23.66,5.0,0.19337571378848503,0.3182525027982423,1.0,0.007611318223611226,8.6,0.0,27.679614067077637,-1,-1,-1,-1,-1
FACETIndex,20,20,57,0.95,0.9090909090909091,1.0,0.9523809523809523,46.32,23.66,5.0,0.19337571378848503,0.3182525027982423,1.0,0.07301021052475166,14.2,114.70194983482361,3.6379997730255127,-1,-1,-1,-1,-1
OCEAN,20,20,57,0.8,0.875,0.7,0.7777777777777777,46.44,23.72,5.0,0.8880275167211845,0.3350643354952757,1.0,0.010071407040386983,9.9,0.0,31.480443239212036,-1,-1,-1,-1,-1
FACETIndex,20,20,57,0.8,0.875,0.7,0.7777777777777777,46.44,23.72,5.0,0.8880275167211845,0.3350643354952757,1.0,0.06619080291853663,13.0,117.60467791557312,3.458970308303833,-1,-1,-1,-1,-1
OCEAN,20,20,57,1.0,1.0,1.0,1.0,45.38,23.19,5.0,-0.2497808456622522,0.3047206881299697,1.0,0.008344922665540405,9.4,0.0,32.69000053405762,-1,-1,-1,-1,-1
FACETIndex,20,20,57,1.0,1.0,1.0,1.0,45.38,23.19,5.0,-0.2497808456622522,0.3047206881299697,1.0,0.06724792637105156,14.4,116.79217338562012,3.7390005588531494,-1,-1,-1,-1,-1
OCEAN,20,20,57,1.0,1.0,1.0,1.0,45.12,23.06,5.0,-0.19977199216000982,0.31459791165671563,1.0,0.009626394963627646,9.1,0.0,33.1917769908905,-1,-1,-1,-1,-1
FACETIndex,20,20,57,1.0,1.0,1.0,1.0,45.12,23.06,5.0,-0.19977199216000982,0.31459791165671563,1.0,0.06396922642671507,12.8,116.0880389213562,2.554001569747925,-1,-1,-1,-1,-1
