explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size,ext_min,ext_avg,ext_max
OCEAN,20,20,9,0.9,0.8181818181818182,1.0,0.9,21.88,11.44,4.96,0.43623518210789125,0.5850953984287317,1.0,0.08362489505704009,3.35,0.0,10.556049108505249,-1,-1,-1,-1,-1
FACETIndex,20,20,9,0.9,0.8181818181818182,1.0,0.9,21.88,11.44,4.96,0.43623518210789125,0.5850953984287317,1.0,0.10987015609917199,4.45,71.88694667816162,0.7249999046325684,-1,-1,-1,-1,-1
OCEAN,20,20,9,0.8,0.7,0.875,0.7777777777777777,21.7,11.35,5.0,0.4197266788145294,0.6003287638287638,1.0,0.08440134388283474,4.5,0.0,9.281999588012695,-1,-1,-1,-1,-1
FACETIndex,20,20,9,0.8,0.7,0.875,0.7777777777777777,21.7,11.35,5.0,0.4197266788145294,0.6003287638287638,1.0,0.1422415294997627,4.5,70.83362150192261,1.3949997425079346,-1,-1,-1,-1,-1
OCEAN,20,20,9,0.95,1.0,0.9166666666666666,0.9565217391304348,20.5,10.75,4.99,0.03743225158314837,0.5957417027417027,1.0,0.02970578088176636,4.2,0.0,8.842066764831543,-1,-1,-1,-1,-1
FACETIndex,20,20,9,0.95,1.0,0.9166666666666666,0.9565217391304348,20.5,10.75,4.99,0.03743225158314837,0.5957417027417027,1.0,0.06196533353403072,4.85,70.33435201644897,1.0750000476837158,-1,-1,-1,-1,-1
OCEAN,20,20,9,0.8,0.8461538461538461,0.8461538461538461,0.8461538461538461,20.46,10.73,4.99,0.3022560136989488,0.5636289882956549,1.0,0.03065601663057571,3.6,0.0,8.387999534606934,-1,-1,-1,-1,-1
FACETIndex,20,20,9,0.8,0.8461538461538461,0.8461538461538461,0.8461538461538461,20.46,10.73,4.99,0.3022560136989488,0.5636289882956549,1.0,0.06421954136180644,4.35,71.09343361854553,0.8610002994537354,-1,-1,-1,-1,-1
OCEAN,20,20,9,0.9,1.0,0.875,0.9333333333333333,21.14,11.07,4.98,0.3306413824612655,0.6094496552829886,1.0,0.03863082764086358,4.4,0.0,9.064000606536865,-1,-1,-1,-1,-1
FACETIndex,20,20,9,0.9,1.0,0.875,0.9333333333333333,21.14,11.07,4.98,0.3306413824612655,0.6094496552829886,1.0,0.06726231739521252,3.9,71.61718535423279,1.1989998817443848,-1,-1,-1,-1,-1
