dataset,n_samples,n_features,n_trees,max_depth,test_size,avg_nnodes,avg_nleaves,avg_depth,accuracy_hard,precision_hard,recall_hard,f1_hard,accuracy_soft,precision_soft,recall_soft,f1_soft
cancer,568,30,20,3,0.2,12.5,6.75,3.0,0.9385964912280702,0.9166666666666666,0.8918918918918919,0.9041095890410958,0.9473684210526315,0.918918918918919,0.918918918918919,0.918918918918919
cancer,568,30,20,3,0.2,13.6,7.3,3.0,0.9473684210526315,1.0,0.8636363636363636,0.9268292682926829,0.9473684210526315,0.975,0.8863636363636364,0.9285714285714285
cancer,568,30,20,3,0.2,12.5,6.75,3.0,0.9824561403508771,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9649122807017544,0.9428571428571428,0.9428571428571428,0.9428571428571428
cancer,568,30,20,3,0.2,13.2,7.1,3.0,0.9385964912280702,0.9761904761904762,0.8723404255319149,0.9213483146067415,0.9385964912280702,0.9761904761904762,0.8723404255319149,0.9213483146067415
cancer,568,30,20,3,0.2,12.3,6.65,3.0,0.9122807017543859,0.9166666666666666,0.825,0.8684210526315789,0.9035087719298246,0.8918918918918919,0.825,0.8571428571428571
cancer,568,30,20,3,0.2,12.6,6.8,3.0,0.9649122807017544,1.0,0.8974358974358975,0.945945945945946,0.9736842105263158,1.0,0.9230769230769231,0.9600000000000001
cancer,568,30,20,3,0.2,13.0,7.0,3.0,0.9473684210526315,0.96,0.9230769230769231,0.9411764705882353,0.9473684210526315,0.96,0.9230769230769231,0.9411764705882353
cancer,568,30,20,3,0.2,12.8,6.9,3.0,0.9649122807017544,0.9722222222222222,0.9210526315789473,0.9459459459459458,0.9649122807017544,0.9722222222222222,0.9210526315789473,0.9459459459459458
cancer,568,30,20,3,0.2,12.5,6.75,3.0,0.9473684210526315,0.9534883720930233,0.9111111111111111,0.9318181818181819,0.956140350877193,0.9761904761904762,0.9111111111111111,0.9425287356321839
cancer,568,30,20,3,0.2,12.8,6.9,3.0,0.9824561403508771,1.0,0.9545454545454546,0.9767441860465117,0.9824561403508771,1.0,0.9545454545454546,0.9767441860465117
glass,162,9,20,3,0.2,11.6,6.3,3.0,0.7272727272727273,0.6842105263157895,0.8125,0.742857142857143,0.6666666666666666,0.6666666666666666,0.625,0.6451612903225806
glass,162,9,20,3,0.2,11.4,6.2,3.0,0.8787878787878788,0.9,0.9,0.9,0.8484848484848485,0.8571428571428571,0.9,0.8780487804878048
glass,162,9,20,3,0.2,11.7,6.35,3.0,0.9090909090909091,0.9,0.9473684210526315,0.9230769230769231,0.9090909090909091,0.8636363636363636,1.0,0.9268292682926829
glass,162,9,20,3,0.2,11.8,6.4,3.0,0.7575757575757576,0.7391304347826086,0.8947368421052632,0.8095238095238095,0.7878787878787878,0.75,0.9473684210526315,0.8372093023255814
glass,162,9,20,3,0.2,11.5,6.25,3.0,0.8484848484848485,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.8181818181818182,0.8235294117647058,0.8235294117647058,0.8235294117647058
glass,162,9,20,3,0.2,12.1,6.55,3.0,0.7272727272727273,0.65,0.8666666666666667,0.7428571428571429,0.696969696969697,0.6190476190476191,0.8666666666666667,0.7222222222222222
glass,162,9,20,3,0.2,11.7,6.35,3.0,0.8181818181818182,0.8888888888888888,0.8,0.8421052631578948,0.8484848484848485,0.8947368421052632,0.85,0.8717948717948718
glass,162,9,20,3,0.2,11.4,6.2,3.0,0.8484848484848485,1.0,0.7916666666666666,0.8837209302325582,0.8484848484848485,1.0,0.7916666666666666,0.8837209302325582
glass,162,9,20,3,0.2,11.9,6.45,3.0,0.6666666666666666,0.5909090909090909,0.8666666666666667,0.7027027027027029,0.6666666666666666,0.5909090909090909,0.8666666666666667,0.7027027027027029
glass,162,9,20,3,0.2,10.9,5.95,3.0,0.7272727272727273,0.76,0.8636363636363636,0.8085106382978724,0.696969696969697,0.7142857142857143,0.9090909090909091,0.8
